CID_1,CID_2,MCC,TC
CIDs00148195,CIDs49800198,-0.0003,0.292576
CIDs00148195,CIDs76317450,-0.0006,0.293333
CIDs00148195,CIDs25227436,0.0297,0.339367
CIDs00148195,CIDs24964624,0.099,0.281938
CIDs00148195,CIDs00148177,0.0739,0.1164019999999999
CIDs00148195,CIDs00093860,-0.002,0.32093
CIDs00148195,CIDs11556711,0.0154,0.270142
CIDs00148195,CIDs25071599,-0.0005,0.2081449999999999
CIDs00148195,CIDs90667118,-0.0003,0.216667
CIDs00148195,CIDs00104842,0.0052,0.277592
CIDs00148195,CIDs10302451,0.0137,0.201521
CIDs00148195,CIDs11213558,-0.0052,0.207273
CIDs00148195,CIDs03081361,0.0721,0.2445409999999999
CIDs00148195,CIDs11167602,0.0425,0.286344
CIDs00148195,CIDs56673688,-0.0006,0.229008
CIDs00148195,CIDs00005515,-0.0012,0.2581699999999999
CIDs00148195,CIDs72793174,-0.0005,0.215613
CIDs00148195,CIDs24978538,0.0136,0.25
CIDs00148195,CIDs10126189,0.0127,0.261538
CIDs00148195,CIDs11717001,-0.0017,0.247967
CIDs00148195,CIDs42611257,0.0676,0.282787
CIDs00148195,CIDs70685869,-0.0003,0.224066
CIDs00148195,CIDs11656518,0.0648,0.2357719999999999
CIDs00148195,CIDs11152667,-0.0022,0.206642
CIDs00148195,CIDs25194865,-0.0007,0.239819
CIDs00148195,CIDs17754438,-0.0031,0.226054
CIDs00148195,CIDs11494412,0.0637,0.3819099999999999
CIDs00148195,CIDs11597571,-0.0021,0.251938
CIDs00148195,CIDs24998177,-0.0003,0.2292489999999999
CIDs00148195,CIDs25262792,-0.0014,0.2319999999999999
CIDs00148195,CIDs00148191,-0.0007,0.171756
CIDs00148195,CIDs06442177,0.0527,0.172414
CIDs00148195,CIDs45375953,0.025,0.172794
CIDs00148195,CIDs11520894,0.0813,0.161871
CIDs00148195,CIDs11640390,0.0284,0.225
CIDs00148195,CIDs45381890,-0.0005,0.316206
CIDs00148195,CIDs56953069,-0.0005,0.315126
CIDs00148195,CIDs16659841,-0.002,0.20614
CIDs00148195,CIDs11707110,0.0706,0.2137929999999999
CIDs00148195,CIDs10127622,0.0509,0.256705
CIDs00148195,CIDs16719221,-0.0014,0.197232
CIDs00148195,CIDs67161792,0.1101,0.280851
CIDs00148195,CIDs73294313,-0.0003,0.233202
CIDs00148195,CIDs15951529,0.0212,0.251064
CIDs00148195,CIDs46893585,-0.0006,0.229927
CIDs00148195,CIDs15953870,0.0168,0.236111
CIDs00148195,CIDs46244173,-0.0006,0.248092
CIDs00148195,CIDs46244453,-0.0003,0.244361
CIDs00148195,CIDs00001805,-0.001,0.107143
CIDs00148195,CIDs46836568,-0.0003,0.227848
CIDs00148195,CIDs49846579,0.0227,0.2396449999999999
CIDs00148195,CIDs46930996,-0.0006,0.135802
CIDs00148195,CIDs67970189,-0.0003,0.232365
CIDs00148195,CIDs11327430,-0.003,0.178571
CIDs00148195,CIDs00003310,-0.0032,0.227451
CIDs00148195,CIDs56973724,-0.0018,0.22541
CIDs00148195,CIDs00003385,0.0446,0.0923913
CIDs00148195,CIDs09933475,0.0573,0.2340429999999999
CIDs00148195,CIDs05311497,0.0687,0.317507
CIDs00148195,CIDs24856436,-0.0025,0.2441469999999999
CIDs00148195,CIDs44381568,-0.0005,0.2040819999999999
CIDs00148195,CIDs00002719,0.0314,0.2625699999999999
CIDs00148195,CIDs76321032,-0.0003,0.205426
CIDs00148195,CIDs56946894,-0.0003,0.207031
CIDs00148195,CIDs00064780,-0.0012,0.193431
CIDs00148195,CIDs00001690,-0.0006,0.2107139999999999
CIDs00148195,CIDs10368812,-0.0005,0.238754
CIDs00148195,CIDs10163178,0.0745,0.214844
CIDs00148195,CIDs00123631,0.0405,0.202532
CIDs00148195,CIDs11375205,-0.0006,0.260504
CIDs00148195,CIDs46224759,-0.0007,0.428571
CIDs00148195,CIDs00104741,0.0216,0.22
CIDs00148195,CIDs00005376,0.0373,0.193717
CIDs00148195,CIDs74767926,-0.0005,0.278761
CIDs00148195,CIDs51039095,-0.0016,0.283898
CIDs00148195,CIDs16720766,0.0073,0.237705
CIDs00148195,CIDs23725625,0.052,0.284444
CIDs00148195,CIDs44199317,-0.0005,0.3150679999999999
CIDs00148195,CIDs11625818,0.0598,0.249057
CIDs00148195,CIDs17755052,0.0757,0.186275
CIDs00148195,CIDs00447654,-0.0018,0.216667
CIDs00148195,CIDs44449126,-0.0003,0.199219
CIDs00148195,CIDs56649450,0.0199,0.31203
CIDs00148195,CIDs44137675,-0.0011,0.260331
CIDs00148195,CIDs54751698,-0.0018,0.193277
CIDs00148195,CIDs16654980,0.0945,0.2204719999999999
CIDs00148195,CIDs25033539,0.0391,0.203704
CIDs00148195,CIDs49867926,0.061,0.179856
CIDs00148195,CIDs58423153,-0.0006,0.207031
CIDs00148195,CIDs00176166,0.0592,0.351695
CIDs00148195,CIDs11519784,-0.0006,0.188406
CIDs00003461,CIDs49867930,-0.0007,0.175115
CIDs00003461,CIDs00004261,-0.0017,0.184358
CIDs00003461,CIDs00005311,-0.0027,0.164384
CIDs00003461,CIDs11955716,-0.0004,0.118644
CIDs00003461,CIDs49800198,-0.0001,0.1886789999999999
CIDs00003461,CIDs76317450,-0.0002,0.1990289999999999
CIDs00003461,CIDs25227436,-0.0006,0.266332
CIDs00003461,CIDs24964624,-0.0011,0.247475
CIDs00003461,CIDs00148177,-0.001,0.151724
CIDs00003461,CIDs00093860,-0.0008,0.148325
CIDs00003461,CIDs11556711,-0.0011,0.204301
CIDs00003461,CIDs25071599,-0.0002,0.192513
CIDs00003461,CIDs90667118,-0.0001,0.180952
CIDs00003461,CIDs00104842,-0.0019,0.202847
CIDs00003461,CIDs10302451,-0.0012,0.230769
CIDs00003461,CIDs11213558,-0.002,0.21519
CIDs00003461,CIDs03081361,-0.0015,0.255208
CIDs00003461,CIDs11167602,-0.0009,0.13242
CIDs00003461,CIDs56673688,-0.0002,0.168067
CIDs00003461,CIDs00005515,-0.0004,0.204947
CIDs00003461,CIDs72793174,-0.0002,0.174274
CIDs00003461,CIDs24978538,-0.0012,0.164983
CIDs00003461,CIDs10126189,-0.0012,0.20339
CIDs00003461,CIDs11717001,-0.0007,0.200913
CIDs00003461,CIDs42611257,-0.0016,0.154506
CIDs00003461,CIDs70685869,-0.0001,0.2425739999999999
CIDs00003461,CIDs11656518,-0.0009,0.2380949999999999
CIDs00003461,CIDs11152667,-0.0008,0.123016
CIDs00003461,CIDs25194865,-0.0003,0.210526
CIDs00003461,CIDs17754438,-0.0012,0.210526
CIDs00003461,CIDs11494412,-0.0006,0.166667
CIDs00003461,CIDs11597571,-0.0008,0.245536
CIDs00003461,CIDs24998177,-0.0001,0.224771
CIDs00003461,CIDs25262792,-0.0005,0.245283
CIDs00003461,CIDs00148191,-0.0003,0.2232559999999999
CIDs00003461,CIDs06442177,-0.002,0.2242989999999999
CIDs00003461,CIDs45375953,-0.0007,0.267281
CIDs00003461,CIDs11520894,-0.0009,0.197425
CIDs00003461,CIDs11640390,-0.0006,0.207729
CIDs00003461,CIDs45381890,-0.0002,0.214286
CIDs00003461,CIDs56953069,-0.0002,0.2171949999999999
CIDs00003461,CIDs16659841,-0.0008,0.2094239999999999
CIDs00003461,CIDs11707110,-0.0011,0.283333
CIDs00003461,CIDs10127622,-0.0014,0.213675
CIDs00003461,CIDs16719221,-0.0005,0.184314
CIDs00003461,CIDs67161792,-0.0002,0.241546
CIDs00003461,CIDs73294313,-0.0001,0.155172
CIDs00003461,CIDs15951529,-0.0008,0.157407
CIDs00003461,CIDs46893585,-0.0002,0.181452
CIDs00003461,CIDs15953870,-0.001,0.1428569999999999
CIDs00003461,CIDs46244173,-0.0002,0.199153
CIDs00003461,CIDs46244453,-0.0001,0.21097
CIDs00003461,CIDs00001805,-0.0004,0.545455
CIDs00003461,CIDs46836568,-0.0001,0.1428569999999999
CIDs00003461,CIDs49846579,-0.0008,0.201923
CIDs00003461,CIDs46930996,-0.0002,0.117241
CIDs00003461,CIDs67970189,-0.0001,0.15
CIDs00003461,CIDs11327430,-0.0011,0.165899
CIDs00003461,CIDs00003310,-0.0012,0.190265
CIDs00003461,CIDs56973724,-0.0007,0.363636
CIDs00003461,CIDs00003385,-0.0044,0.217054
CIDs00003461,CIDs09933475,-0.0013,0.217822
CIDs00003461,CIDs05311497,-0.0013,0.179941
CIDs00003461,CIDs24856436,-0.0009,0.237736
CIDs00003461,CIDs44381568,-0.0002,0.2184469999999999
CIDs00003461,CIDs00002719,-0.0026,0.181818
CIDs00003461,CIDs76321032,-0.0001,0.191964
CIDs00003461,CIDs56946894,-0.0001,0.193694
CIDs00003461,CIDs00064780,-0.0005,0.219828
CIDs00003461,CIDs00001690,-0.0002,0.199187
CIDs00003461,CIDs10368812,-0.0002,0.212355
CIDs00003461,CIDs10163178,-0.0005,0.230415
CIDs00003461,CIDs00123631,-0.0029,0.2422679999999999
CIDs00003461,CIDs11375205,-0.0002,0.24878
CIDs00003461,CIDs46224759,-0.0003,0.1441859999999999
CIDs00003461,CIDs00104741,-0.0027,0.162791
CIDs00003461,CIDs00005376,-0.0034,0.121951
CIDs00003461,CIDs74767926,-0.0002,0.2564099999999999
CIDs00003461,CIDs51039095,-0.0006,0.177273
CIDs00003461,CIDs16720766,-0.0017,0.316327
CIDs00003461,CIDs23725625,-0.0014,0.172249
CIDs00003461,CIDs44199317,-0.0002,0.184466
CIDs00003461,CIDs11625818,-0.0009,0.264317
CIDs00003461,CIDs17755052,-0.001,0.203774
CIDs00003461,CIDs00447654,-0.0007,0.180952
CIDs00003461,CIDs44449126,-0.0001,0.179372
CIDs00003461,CIDs56649450,-0.0009,0.155303
CIDs00003461,CIDs44137675,-0.0004,0.248804
CIDs00003461,CIDs54751698,-0.0007,0.1428569999999999
CIDs00003461,CIDs16654980,-0.001,0.237209
CIDs00003461,CIDs25033539,-0.0005,0.325472
CIDs00003461,CIDs49867926,-0.0006,0.178423
CIDs00003461,CIDs58423153,-0.0002,0.1324789999999999
CIDs00003461,CIDs00176166,-0.0009,0.141079
CIDs00003461,CIDs11519784,-0.0002,0.149798
CIDs49867930,CIDs00004261,0.0081,0.2473679999999999
CIDs49867930,CIDs00005311,0.0009,0.242038
CIDs49867930,CIDs11955716,-0.001,0.296512
CIDs49867930,CIDs49800198,-0.0003,0.325359
CIDs49867930,CIDs76317450,-0.0005,0.339901
CIDs49867930,CIDs25227436,-0.0015,0.3381639999999999
CIDs49867930,CIDs24964624,0.0516,0.276995
CIDs49867930,CIDs00148177,0.0996,0.0847458
CIDs49867930,CIDs00093860,-0.0019,0.325
CIDs49867930,CIDs11556711,0.0363,0.283505
CIDs49867930,CIDs25071599,-0.0004,0.2038829999999999
CIDs49867930,CIDs90667118,-0.0003,0.19214
CIDs49867930,CIDs00104842,0.0062,0.264808
CIDs49867930,CIDs10302451,0.015,0.155642
CIDs49867930,CIDs11213558,0.037,0.203846
CIDs49867930,CIDs03081361,0.1723,0.146552
CIDs49867930,CIDs11167602,0.0218,0.21875
CIDs49867930,CIDs56673688,-0.0005,0.257261
CIDs49867930,CIDs00005515,-0.0011,0.270833
CIDs49867930,CIDs72793174,-0.0004,0.278008
CIDs49867930,CIDs24978538,-0.0028,0.288194
CIDs49867930,CIDs10126189,0.0139999999999999,0.207031
CIDs49867930,CIDs11717001,-0.0016,0.190083
CIDs49867930,CIDs42611257,0.0216,0.204918
CIDs49867930,CIDs70685869,-0.0003,0.346341
CIDs49867930,CIDs11656518,-0.0021,0.228448
CIDs49867930,CIDs11152667,-0.002,0.257143
CIDs49867930,CIDs25194865,-0.0007,0.321244
CIDs49867930,CIDs17754438,0.0147,0.208835
CIDs49867930,CIDs11494412,0.0682,0.299492
CIDs49867930,CIDs11597571,0.0235,0.2015809999999999
CIDs49867930,CIDs24998177,-0.0003,0.258621
CIDs49867930,CIDs25262792,-0.0013,0.301802
CIDs49867930,CIDs00148191,-0.0007,0.170732
CIDs49867930,CIDs06442177,0.026,0.171429
CIDs49867930,CIDs45375953,-0.0018,0.190476
CIDs49867930,CIDs11520894,0.0201,0.169231
CIDs49867930,CIDs11640390,0.0306,0.211454
CIDs49867930,CIDs45381890,-0.0004,0.2362199999999999
CIDs49867930,CIDs56953069,-0.0004,0.230126
CIDs49867930,CIDs16659841,-0.0019,0.1377779999999999
CIDs49867930,CIDs11707110,0.017,0.242537
CIDs49867930,CIDs10127622,0.0257,0.197674
CIDs49867930,CIDs16719221,-0.0013,0.189091
CIDs49867930,CIDs67161792,-0.0004,0.247788
CIDs49867930,CIDs73294313,0.1665,0.290749
CIDs49867930,CIDs15951529,-0.002,0.29108
CIDs49867930,CIDs46893585,-0.0006,0.2183909999999999
CIDs49867930,CIDs15953870,-0.0024,0.316406
CIDs49867930,CIDs46244173,-0.0005,0.203125
CIDs49867930,CIDs46244453,-0.0003,0.2046329999999999
CIDs49867930,CIDs00001805,-0.0009,0.145
CIDs49867930,CIDs46836568,-0.0003,0.238255
CIDs49867930,CIDs49846579,-0.0019,0.253918
CIDs49867930,CIDs46930996,-0.0006,0.1368079999999999
CIDs49867930,CIDs67970189,-0.0003,0.219298
CIDs49867930,CIDs11327430,-0.0028,0.2139739999999999
CIDs49867930,CIDs00003310,0.0303,0.122137
CIDs49867930,CIDs56973724,-0.0017,0.222707
CIDs49867930,CIDs00003385,0.0192,0.1097559999999999
CIDs49867930,CIDs09933475,0.0292,0.199115
CIDs49867930,CIDs05311497,0.0121,0.268657
CIDs49867930,CIDs24856436,-0.0023,0.24735
CIDs49867930,CIDs44381568,-0.0004,0.237668
CIDs49867930,CIDs00002719,0.0018,0.224852
CIDs49867930,CIDs76321032,-0.0003,0.221757
CIDs49867930,CIDs56946894,-0.0003,0.213389
CIDs49867930,CIDs00064780,-0.0012,0.184615
CIDs49867930,CIDs00001690,-0.0005,0.134752
CIDs49867930,CIDs10368812,-0.0004,0.232727
CIDs49867930,CIDs10163178,0.0392,0.182186
CIDs49867930,CIDs00123631,0.0515,0.151515
CIDs49867930,CIDs11375205,0.0958,0.211207
CIDs49867930,CIDs46224759,-0.0007,0.348259
CIDs49867930,CIDs00104741,0.024,0.171875
CIDs49867930,CIDs00005376,0.0533,0.148352
CIDs49867930,CIDs74767926,-0.0004,0.370558
CIDs49867930,CIDs51039095,-0.0015,0.314815
CIDs49867930,CIDs16720766,0.0083,0.246696
CIDs49867930,CIDs23725625,0.0263,0.2857139999999999
CIDs49867930,CIDs44199317,-0.0004,0.2396309999999999
CIDs49867930,CIDs11625818,-0.0023,0.209302
CIDs49867930,CIDs17755052,0.0185,0.219858
CIDs49867930,CIDs00447654,-0.0017,0.202643
CIDs49867930,CIDs44449126,-0.0003,0.230769
CIDs49867930,CIDs56649450,-0.0021,0.231343
CIDs49867930,CIDs44137675,-0.001,0.265487
CIDs49867930,CIDs54751698,-0.0017,0.244131
CIDs49867930,CIDs16654980,0.0183,0.202479
CIDs49867930,CIDs25033539,-0.0012,0.214286
CIDs49867930,CIDs49867926,-0.0015,0.211765
CIDs49867930,CIDs58423153,-0.0005,0.312217
CIDs49867930,CIDs00176166,0.2829,0.304348
CIDs49867930,CIDs11519784,-0.0005,0.27686
CIDs00004261,CIDs00005311,0.2194,0.256198
CIDs00004261,CIDs11955716,0.0442,0.294964
CIDs00004261,CIDs49800198,-0.0007,0.206186
CIDs00004261,CIDs76317450,0.0411,0.192708
CIDs00004261,CIDs25227436,0.0405,0.314607
CIDs00004261,CIDs24964624,0.0335,0.27933
CIDs00004261,CIDs00148177,0.1199,0.0875912
CIDs00004261,CIDs00093860,0.0074,0.247191
CIDs00004261,CIDs11556711,0.1135,0.163842
CIDs00004261,CIDs25071599,-0.001,0.385135
CIDs00004261,CIDs90667118,-0.0007,0.337209
CIDs00004261,CIDs00104842,0.0608,0.254902
CIDs00004261,CIDs10302451,0.0327,0.175926
CIDs00004261,CIDs11213558,0.0211,0.227273
CIDs00004261,CIDs03081361,0.0569,0.198925
CIDs00004261,CIDs11167602,0.0266,0.32948
CIDs00004261,CIDs56673688,-0.0012,0.280788
CIDs00004261,CIDs00005515,0.0382,0.27668
CIDs00004261,CIDs72793174,-0.001,0.232558
CIDs00004261,CIDs24978538,0.0869,0.19708
CIDs00004261,CIDs10126189,0.0379,0.198198
CIDs00004261,CIDs11717001,-0.0037,0.20098
CIDs00004261,CIDs42611257,0.0695,0.267677
CIDs00004261,CIDs70685869,-0.0007,0.420732
CIDs00004261,CIDs11656518,0.0161,0.273684
CIDs00004261,CIDs11152667,0.0278,0.221198
CIDs00004261,CIDs25194865,0.0312,0.31677
CIDs00004261,CIDs17754438,-0.0066,0.216981
CIDs00004261,CIDs11494412,0.0273,0.260355
CIDs00004261,CIDs11597571,0.0289999999999999,0.254808
CIDs00004261,CIDs24998177,-0.0007,0.303665
CIDs00004261,CIDs25262792,-0.0029,0.366667
CIDs00004261,CIDs00148191,-0.0015,0.134259
CIDs00004261,CIDs06442177,0.0975,0.1401869999999999
CIDs00004261,CIDs45375953,0.0086,0.200935
CIDs00004261,CIDs11520894,0.0242,0.125
CIDs00004261,CIDs11640390,0.0387,0.26087
CIDs00004261,CIDs45381890,-0.001,0.278302
CIDs00004261,CIDs56953069,-0.001,0.418079
CIDs00004261,CIDs16659841,0.0076,0.139037
CIDs00004261,CIDs11707110,0.0542,0.277533
CIDs00004261,CIDs10127622,0.0688,0.285024
CIDs00004261,CIDs16719221,-0.0029,0.193277
CIDs00004261,CIDs67161792,0.0508,0.244792
CIDs00004261,CIDs73294313,-0.0007,0.295337
CIDs00004261,CIDs15951529,0.0063,0.2817679999999999
