CID_1,CID_2,MCC,TC,combo,pair_label,Pearson,Spearman,Kendall,Pearson_class,Spearman_class,Kendall_class,DACS,random_number
CIDs56677003,CIDs11597571,0.1523,0.332031,CIDs56677003_CIDs11597571,0.0,0.4832285784096251,0.5,0.3333333333333333,1.0,1.0,1.0,0.3652942306702913,0.22210273521179646
CIDs56677003,CIDs24998177,-0.0001,0.405983,CIDs56677003_CIDs24998177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4059830123157864,0.9296157493374854
CIDs56677003,CIDs25262792,-0.0002,0.387234,CIDs56677003_CIDs25262792,0.0,0.5509546209130024,0.7142857142857143,0.6,1.0,1.0,1.0,0.3872340516483539,0.407180715449591
CIDs56677003,CIDs00148191,-0.0001,0.169065,CIDs56677003_CIDs00148191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1690650295744214,0.19995938819792247
CIDs56677003,CIDs06442177,0.061,0.165468,CIDs56677003_CIDs06442177,0.0,0.24284152015496,0.2,0.2,1.0,1.0,1.0,0.1763537893667159,0.9967495510415472
CIDs56677003,CIDs45375953,-0.0003,0.243542,CIDs56677003_CIDs45375953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2435421847729875,0.7739870213858031
CIDs56677003,CIDs11520894,0.1334,0.163823,CIDs56677003_CIDs11520894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2112665030926578,0.4077173854360796
CIDs56677003,CIDs11640390,0.1923,0.368421,CIDs56677003_CIDs11640390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155879248017199,0.7130897166930852
CIDs56677003,CIDs45381890,0.7071,0.703883,CIDs56677003_CIDs45381890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977182406315924,0.31846187212268073
CIDs56677003,CIDs56953069,-0.0001,0.282946,CIDs56677003_CIDs56953069,0.0,0.0333562652575047,0.2571428571428572,0.2,1.0,1.0,1.0,0.2829460176712159,0.3843571262136095
CIDs56677003,CIDs16659841,0.1621,0.313901,CIDs56677003_CIDs16659841,0.0,-0.1013656892543574,-0.2,-0.2,-1.0,-1.0,-1.0,0.3532849385425312,0.7883942630959857
CIDs56677003,CIDs11707110,0.1168,0.289199,CIDs56677003_CIDs11707110,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3118946963335542,0.8467091978332775
CIDs56677003,CIDs10127622,0.0868,0.300752,CIDs56677003_CIDs10127622,0.0,0.4216748750622015,0.4,0.3333333333333334,1.0,1.0,1.0,0.3130271641631122,0.7141664625258427
CIDs56677003,CIDs16719221,-0.0002,0.238095,CIDs56677003_CIDs16719221,0.0,-0.4959732941702744,-0.3714285714285715,-0.3333333333333333,-1.0,-1.0,-1.0,0.2380950840000691,0.6949127772507905
CIDs56677003,CIDs67161792,-0.0001,0.302041,CIDs56677003_CIDs67161792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3020410165540435,0.26982078988478475
CIDs56677003,CIDs73294313,-0.0001,0.71875,CIDs56677003_CIDs73294313,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7187500069565217,0.4671264075232452
CIDs56677003,CIDs15951529,-0.0003,0.204633,CIDs56677003_CIDs15951529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2046332199057621,0.7937170307762283
CIDs56677003,CIDs46893585,-0.0001,0.245614,CIDs56677003_CIDs46893585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2456140203571449,0.19783245256187643
CIDs56677003,CIDs15953870,-0.0004,0.230263,CIDs56677003_CIDs15953870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2302633474285475,0.2982888086710769
CIDs56677003,CIDs46244173,-0.0001,0.316794,CIDs56677003_CIDs46244173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3167940157831268,0.14946850020723568
CIDs56677003,CIDs46244453,-0.0001,0.32197,CIDs56677003_CIDs46244453,0.0,0.2888279319112334,0.4285714285714286,0.2,1.0,1.0,1.0,0.3219700155293967,0.8484634900267789
CIDs56677003,CIDs00001805,-0.0002,0.122363,CIDs56677003_CIDs00001805,0.0,-0.4794451756895617,-0.7142857142857143,-0.4666666666666666,-1.0,-1.0,-1.0,0.1223631634479919,0.3253305174326583
CIDs56677003,CIDs46836568,-0.0001,0.253086,CIDs56677003_CIDs46836568,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2530860197561295,0.29476962558727837
CIDs56677003,CIDs49846579,-0.0003,0.332317,CIDs56677003_CIDs49846579,0.0,-0.2094832706111628,-0.5,-0.3333333333333333,-1.0,-1.0,-1.0,0.3323171354128463,0.02863009585323817
CIDs56677003,CIDs46930996,-0.0001,0.225397,CIDs56677003_CIDs46930996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2253970221830803,0.4936824023752955
CIDs56677003,CIDs67970189,-0.0001,0.245059,CIDs56677003_CIDs67970189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245059020403249,0.7021972773997658
CIDs56677003,CIDs11327430,-0.0005,0.1623619999999999,CIDs56677003_CIDs11327430,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1623627698827535,0.44080225641821047
CIDs56677003,CIDs00003310,-0.0005,0.18638,CIDs56677003_CIDs00003310,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1863806706716123,0.7634677990844236
CIDs56677003,CIDs56973724,-0.0003,0.29918,CIDs56677003_CIDs56973724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2991801504110859,0.4053893684840455
CIDs56677003,CIDs00003385,0.0281,0.134715,CIDs56677003_CIDs00003385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1376144659002098,0.751901895488019
CIDs56677003,CIDs09933475,-0.0005,0.262295,CIDs56677003_CIDs09933475,0.0,-0.6152027479636433,-0.4,-0.3333333333333334,-1.0,-1.0,-1.0,0.2622954765622159,0.9430149602647574
CIDs56677003,CIDs05311497,0.0918,0.269231,CIDs56677003_CIDs05311497,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2844513514838697,0.44556755688909133
CIDs56677003,CIDs24856436,-0.0004,0.368421,CIDs56677003_CIDs24856436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3684212171428241,0.01890534725340398
CIDs56677003,CIDs44381568,-0.0001,0.397321,CIDs56677003_CIDs44381568,0.0,0.2340787411299225,0.3714285714285715,0.2,1.0,1.0,1.0,0.397321012584283,0.046331942552400474
CIDs56677003,CIDs00002719,-0.001,0.226131,CIDs56677003_CIDs00002719,0.0,-0.6197378865289547,0.0,0.2,-1.0,0.0,1.0,0.2261332110969107,0.4805474766008444
CIDs56677003,CIDs76321032,-0.0001,0.412017,CIDs56677003_CIDs76321032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4120170121354214,0.7551552565199473
CIDs56677003,CIDs56946894,-0.0001,0.403433,CIDs56677003_CIDs56946894,0.0,0.8713021510864917,0.5,0.3333333333333333,1.0,1.0,1.0,0.4034330123936314,0.3664035095867658
CIDs56677003,CIDs00064780,-0.0002,0.210526,CIDs56677003_CIDs00064780,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.210526095000121,0.27463813580965313
CIDs56677003,CIDs00001690,-0.0001,0.214286,CIDs56677003_CIDs00001690,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2142860233333009,0.8016657752943736
CIDs56677003,CIDs10368812,-0.0001,0.216828,CIDs56677003_CIDs10368812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2168280230597511,0.3577620375180597
CIDs56677003,CIDs10163178,-0.0002,0.359504,CIDs56677003_CIDs10163178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3595040556322,0.3802492140797755
CIDs56677003,CIDs00123631,0.0427,0.334802,CIDs56677003_CIDs00123631,0.0,-0.9840088605821308,-1.0,-1.0,-1.0,-1.0,-1.0,0.3375139540878273,0.5770679147145816
CIDs56677003,CIDs11375205,-0.0001,0.341772,CIDs56677003_CIDs11375205,0.0,0.5857898291579806,0.4857142857142858,0.3333333333333333,1.0,1.0,1.0,0.3417720146296358,0.8826649520023504
CIDs56677003,CIDs46224759,-0.0001,0.203125,CIDs56677003_CIDs46224759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2031250246153831,0.30848424407607766
CIDs56677003,CIDs00104741,0.0449,0.105485,CIDs56677003_CIDs00104741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1146433392090443,0.894617027672117
CIDs56677003,CIDs00005376,0.0356,0.138889,CIDs56677003_CIDs00005376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1433789186770496,0.5787206433031917
CIDs56677003,CIDs74767926,-0.0001,0.295359,CIDs56677003_CIDs74767926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2953590169285509,0.02682832933887036
CIDs56677003,CIDs51039095,-0.0002,0.326446,CIDs56677003_CIDs51039095,0.0,0.3585378811183073,0.0857142857142857,-0.0666666666666666,1.0,1.0,-1.0,0.3264460612658698,0.01807153064461786
CIDs56677003,CIDs16720766,-0.0007,0.245136,CIDs56677003_CIDs16720766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2451369994431685,0.9131583132819135
CIDs56677003,CIDs23725625,-0.0006,0.218254,CIDs56677003_CIDs23725625,0.0,0.8644285349305759,1.0,1.0,1.0,1.0,1.0,0.2182548247255945,0.12507239719482854
CIDs56677003,CIDs44199317,-0.0001,0.2,CIDs56677003_CIDs44199317,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2000000249999984,0.5100518114789465
CIDs56677003,CIDs11625818,-0.0004,0.246429,CIDs56677003_CIDs11625818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2464293246369027,0.8809806653966801
CIDs56677003,CIDs17755052,-0.0004,0.318339,CIDs56677003_CIDs17755052,0.0,0.5503617096281225,0.4,0.3333333333333334,1.0,1.0,1.0,0.3183392513043278,0.6858266856172044
CIDs56677003,CIDs00447654,-0.0003,0.614583,CIDs56677003_CIDs00447654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6145830732203743,0.5890258223222208
CIDs56677003,CIDs44449126,-0.0001,0.658163,CIDs56677003_CIDs44449126,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6581630075969023,0.8511066431659665
CIDs56677003,CIDs56649450,-0.0004,0.278746,CIDs56677003_CIDs56649450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2787462869994863,0.1281906117338727
CIDs56677003,CIDs44137675,-0.0002,0.302419,CIDs56677003_CIDs44137675,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3024190661334037,0.6773331999785289
CIDs56677003,CIDs54751698,-0.0003,0.148289,CIDs56677003_CIDs54751698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1482893034611735,0.6455046849000613
CIDs56677003,CIDs16654980,0.1238,0.389831,CIDs56677003_CIDs16654980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090166849420693,0.3373002823703891
CIDs56677003,CIDs25033539,-0.0002,0.304183,CIDs56677003_CIDs25033539,0.0,0.1879623697097196,0.5,0.3333333333333333,1.0,1.0,1.0,0.3041830657498868,0.05857786395463316
CIDs56677003,CIDs49867926,-0.0003,0.362205,CIDs56677003_CIDs49867926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3622051242390146,0.15496756811343637
